KID,YEAR,MID,FID,YBIRTH,YBIRTH_M,YMAR,YDIV,YSEP,YBIRTH_F,UD_year,JC_year,edH,edW,F_hrs,F_earn,F_wage,M_hrs,M_earn,M_wage,exp,exp1,exp2,F_AGE,M_AGE,SEP,DIV,TSD,TSS,L,LW_std,LW_raw,PC_std,PC_raw,AP_std,AP_raw,DigSpan,BPE,BPN,tau_m,tau_f,AGE,PHI_M,PHI_F,dgroup,sgroup
50034,1997,50005,50170,1993,1961,1991,9999,9999,1959,1970,1980,1,1,3500,69724.21741161813,19.919672574365364,1530,48270.61205419716,31.547526678087525,NA,13.5,13,38,36,FALSE,FALSE,-8002,-8002,2,105,7,NA,NA,97,7,1,3,0,23.6166666666667,11.3,4,0.28599596335972716,0.25283993115318415,1,1
50034,2002,50005,50170,1993,1961,1991,9999,9999,1959,1970,1980,1,1,2530,43079.831208615265,17.027601268227375,3129,33506.535384478535,10.708384590756964,NA,18.5,18,43,41,FALSE,FALSE,-7997,-7997,2,96,37,97,19,90,28,15,2,2,37.9,15.4833333333333,9,0.7312801484230055,0.2444242056263909,1,1
50034,2007,50005,50170,1993,1961,1991,9999,9999,1959,1970,1980,1,1,2600,59793.502585076014,22.99750099426001,2080,40692.80037039895,19.563846331922566,NA,23.5,23,48,46,FALSE,FALSE,-7992,-7992,2,99,48,84,23,102,41,13,4,0,18.6666666666667,5,14,0.25925925925925974,0.08064516129032258,1,1
50035,1997,50005,50170,1993,1961,1991,9999,9999,1959,1970,1980,1,1,3500,69724.21741161813,19.919672574365364,1530,48270.61205419716,31.547526678087525,NA,13.5,13,38,36,FALSE,FALSE,-8002,-8002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8833333333333,13.9666666666667,4,0.2528955131190805,0.31250717154331686,1,1
50035,2002,50005,50170,1993,1961,1991,9999,9999,1959,1970,1980,1,1,2530,43079.831208615265,17.027601268227375,3129,33506.535384478535,10.708384590756964,NA,18.5,18,43,41,FALSE,FALSE,-7997,-7997,2,106,30,100,13,56,12,9,5,5,14.4,26.0666666666667,9,0.277847866419295,0.4114956486541191,1,1
50035,2007,50005,50170,1993,1961,1991,9999,9999,1959,1970,1980,1,1,2600,59793.502585076014,22.99750099426001,2080,40692.80037039895,19.563846331922566,NA,23.5,23,48,46,FALSE,FALSE,-7992,-7992,2,101,46,90,23,78,27,12,6,3,7.91666666666667,5.08333333333333,14,0.10995370370370375,0.08198924731182791,1,1
50032,1997,50171,50003,1989,1960,1988,2011,2011,1959,9999,1986,0,1,2340,26817.006696776203,11.456225260862793,1750,24671.646161034107,14.095018719825573,NA,10,10,38,37,FALSE,FALSE,-14,-14,1,141,45,117,21,128,32,13,7,2,11.75,1.25,8,0.14997545409916546,0.018656716417910446,3,3
50032,2002,50171,50003,1989,1960,1988,2011,2011,1959,9999,1986,0,1,1999,26158.07350987119,13.085579544707947,2030,29266.522663968382,14.417006238408069,NA,15,15,43,42,FALSE,FALSE,-9,-9,1,128,54,103,29,111,44,18,6,6,11,0.416666666666667,13,0.15076436478650504,0.005664488017429198,3,3
50032,2007,50171,50003,1989,1960,1988,2011,2011,1959,9999,1986,0,1,2080,20761.632842040282,9.981554250980931,2340,28900.19291612007,12.35050979321373,NA,20,20,48,47,FALSE,FALSE,-4,-4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,3,3
50033,1997,50171,50003,1989,1960,1988,2011,2011,1959,9999,1986,0,1,2340,26817.006696776203,11.456225260862793,1750,24671.646161034107,14.095018719825573,NA,10,10,38,37,FALSE,FALSE,-14,-14,1,105,14,NA,NA,116,19,11,9,3,13.25,0,8,0.16912125675012274,0,3,3
50033,2002,50171,50003,1989,1960,1988,2011,2011,1959,9999,1986,0,1,1999,26158.07350987119,13.085579544707947,2030,29266.522663968382,14.417006238408069,NA,15,15,43,42,FALSE,FALSE,-9,-9,1,109,47,105,27,98,35,19,6,2,12.0833333333333,1.33333333333333,13,0.16561237040941795,0.018126361655773374,3,3
50033,2007,50171,50003,1989,1960,1988,2011,2011,1959,9999,1986,0,1,2080,20761.632842040282,9.981554250980931,2340,28900.19291612007,12.35050979321373,NA,20,20,48,47,FALSE,FALSE,-4,-4,1,96,49,94,29,129,53,NA,3,2,0,0,18,0,0,3,3
51031,1997,51030,51170,1988,1970,1988,1992,1991,1968,9999,1986,0,0,NA,NA,NA,0,0,NA,NA,3.5,0,29,27,TRUE,TRUE,5,6,1,88,29,99,18,93,25,10,6,0,18.4166666666667,0,9,0.1644345238095241,NA,2,2
51031,2002,51030,51170,1988,1970,1988,1992,1991,1968,9999,1986,0,0,NA,NA,NA,0,0,NA,NA,3.5,0,34,32,TRUE,TRUE,10,11,1,113,52,125,35,100,41,13,10,9,55.75,55.75,14,0.49776785714285715,NA,2,2
